Polkadot (DOT),https://t.me/PolkadotOfficial,-1001286954524,1286954524
VeChain (VET),https://t.me/vechainannouncement,-1001132330821,1132330821
Solana (SOL),https://t.me/solanaannouncements,-1001353617371,1353617371
Aave (AAVE),https://t.me/Aave_Official,-1001162680230,1162680230
Polygon (MATIC),https://t.me/PolygonAnnouncements,-1001217898451,1217898451
Huobi Token (HT),https://t.me/HuobiGlobalAnnouncementChannel,-1001294500289,1294500289
Terra (LUNA),https://t.me/Luna_Terra_Lounge,-1001339385840,1339385840
Cosmos (ATOM),https://t.me/Cosmos_Announcements,-1001300855607,1300855607
PancakeSwap (CAKE),https://t.me/PancakeSwapAnn,-1001076863170,1076863170
SafeMoon (SAFEMOON),https://t.me/safemoonV2Announcement,-1001409144961,1409144961
Avalanche (AVAX),https://t.me/avalanche_announcements,-1001169203507,1169203507
THORChain (RUNE),https://t.me/thorchain,-1001138507588,1138507588
Algorand (ALGO),https://t.me/algorand_announcements,-1001193248583,1193248583
Waves (WAVES),https://t.me/wavesnews,-1001050702615,1050702615
Elrond (EGLD),https://t.me/ElrondNetworkAnn,-1001313569013,1313569013
Decred (DCR),https://t.me/DCRann,-1001293575935,1293575935
yearn.finance (YFI),https://t.me/yearnupdates,-1001245521994,1245521994
Zilliqa (ZIL),https://t.me/zilliqa,-1001231634137,1231634137
Amp (AMP),https://t.me/amptoken,-1001125289563,1125289563
Chiliz (CHZ),https://t.me/ChilizNews,-1001465608403,1465608403
Hedera Hashgraph (HBAR),https://t.me/hederahashgraph,-1001112183173,1112183173
Near (NEAR),https://t.me/nearprotocolnews,-1001442389174,1442389174
Enjin Coin (ENJ),https://t.me/enjininsights,-1001254309617,1254309617
Ontology (ONT),https://t.me/OntologyAnnouncements,-1001163094211,1163094211
Nano (NANO),https://t.me/nanoinfoen,-1001256858618,1256858618
Stacks (STX),https://t.me/BlockstackUpdate,-1001244439402,1244439402
DigiByte (DGB),https://t.me/DGBalerts,-1001104474938,1104474938
Fantom (FTM),https://t.me/fantomfoundation,-1001369376451,1369376451
The Graph (GRT),https://t.me/GraphProtocolOfficial,-1001214298767,1214298767
Bancor Network Token (BNT),https://t.me/BancorNews,-1001179524257,1179524257
Lido Staked Ether (STETH),https://t.me/lidonews,-1001358581287,1358581287
Curve DAO Token (CRV),https://t.me/curvefiann,-1001466612722,1466612722
Arweave (AR),https://t.me/arweaveannouncements,-1001374706864,1374706864
IOST (IOST),https://t.me/iost_announcements,-1001378539087,1378539087
Venus (XVS),https://t.me/venusannouncements,-1001121616674,1121616674
Harmony (ONE),https://t.me/harmony_announcements,-1001263128456,1263128456
SwissBorg (CHSB),https://t.me/swissborg,-1001132173760,1132173760
Nexus Mutual (NXM),https://t.me/NexusMutualAnnouncements,-1001161339279,1161339279
Flow (FLOW),https://t.me/flow_blockchain,-1001313603782,1313603782
Ankr (ANKR),https://t.me/anrknetworkann,-1001348736605,1348736605
1inch (1INCH),https://t.me/OneInchNetworkChan,-1001313539545,1313539545
Reserve Rights Token (RSR),https://t.me/ReserveAnnouncements,-1001447097072,1447097072
WazirX (WRX),https://t.me/wazirx,-1001327215255,1327215255
ECOMI (OMI),https://t.me/ecomiANN,-1001433341785,1433341785
BakerySwap (BAKE),https://t.me/BakeryAnnouncement,-1001333245787,1333245787
Energy Web Token (EWT),https://t.me/EnergyWebAnnouncements,-1001460230397,1460230397
REN (REN),https://t.me/renprojectann,-1001087645446,1087645446
Quant (QNT),https://t.me/quantnetworkannouncements,-1001278418287,1278418287
Alpha Finance (ALPHA),https://t.me/AlphaAnnouncement,-1001349428988,1349428988
Dent (DENT),https://t.me/dentcoin_news,-1001380029227,1380029227
